2020.01.09 15:14:30 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2020.01.09 15:14:31 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2020.01.09 15:14:31 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[11796], build[fcbb46d/2017-01-03T11:33:16Z]
2020.01.09 15:14:31 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2020.01.09 15:14:31 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2020.01.09 15:14:31 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[OSDisk (C:)]], net usable_space [356.6gb], net total_space [463.8gb], spins? [unknown], types [NTFS]
2020.01.09 15:14:31 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [998.4mb], compressed ordinary object pointers [unknown]
2020.01.09 15:14:42 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2020.01.09 15:14:42 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2020.01.09 15:14:42 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2020.01.09 15:14:42 INFO  es[][o.e.discovery] [sonarqube] sonarqube/82eTtRKUSL2YKbC_UeBuBQ
2020.01.09 15:14:47 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{82eTtRKUSL2YKbC_UeBuBQ}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2020.01.09 15:14:47 INFO  es[][o.elasticsearch.node] [sonarqube] started
2020.01.09 15:14:47 INFO  es[][o.e.gateway] [sonarqube] recovered [7] indices into cluster_state
2020.01.09 15:14:56 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][2]] ...]).
